地产项目,未售均价,财务测算价,营销产品类型
Unknown,19844.29,135000.00,洋房
保利时代香槟花园,13900.00,135000.00,洋房
长沙望城区时代年华北地块项目,10300.00,92700.00,洋房
翠逸家园,,0.00,洋房
东莞茶山镇横江村项目,26072.46,156000.00,洋房
东莞横沥项目,14971.28,122354.00,洋房
东莞石排水贝村项目,19727.81,360214.45,洋房
东莞市道滘镇小河路收购项目,20215.40,74000.00,洋房
番禺市桥南项目,39688.12,337110.00,洋房
佛冈石联项目,5000.00,30000.00,洋房
佛山海三路项目,21342.25,109998.19,洋房
佛山三水南山聚贤项目,6500.00,52000.00,洋房
佛山市三水区大塘镇奥利花园,8750.00,26250.00,洋房
广州从化环市东路项目,20935.72,127200.00,洋房
广州番禺清河东路项目,52000.00,52000.00,洋房
广州花都合成北路项目,23000.00,23000.00,洋房
广州花都狮岭芙蓉大道项目,22000.00,88000.00,洋房
广州花都团结南路项目,23000.00,23000.00,洋房
广州黄埔化工项目,,0.00,洋房
广州南沙海景路项目,30000.00,600000.00,洋房
海珠区石岗路项目,120000.00,480000.00,洋房
豪庭居,,0.00,洋房
鹤山雁山城项目,11000.00,231000.00,洋房
宏航苑,0.00,0.00,洋房
花都区狮岭镇利峰城项目,11373.38,124357.66,洋房
黄花项目,9000.00,54000.00,洋房
黄埔区怡景大厦项目,55000.00,55000.00,洋房
惠阳雍华庭项目,13000.00,111627.00,洋房
惠州德赛项目,13424.79,210000.00,洋房
惠州英之皇尧岗路项目,16000.00,80000.00,洋房
江门鹤山共和镇鸿江路项目,8500.00,136000.00,洋房
江门鹤山沙坪新325国道项目,10000.00,10000.00,洋房
景泰名苑,,0.00,洋房
里水邓岗项目,26000.00,156000.00,洋房
绿景东路以北项目,22919.07,144000.00,洋房
萝岗开源大道项目,30042.94,300321.00,洋房
南沙坂头村项目,,148500.00,洋房
清远飞来湖（嘉达）项目,15000.00,255000.00,洋房
清远飞来湖项目恒达项目,15000.00,390000.00,洋房
清远飞来南路项目,15000.00,15000.00,洋房
清远佛冈松峰项目,7500.00,7500.00,洋房
清远倾城九期（合顺）项目,10000.00,90000.00,洋房
清远市清城区万达西地块,13000.00,156000.00,洋房
清远天富项目,9586.18,80000.00,洋房
清远喜龙项目,10220.88,294000.00,洋房
清远信腾项目,,0.00,洋房
三水百盈达项目,11463.58,159017.00,洋房
三水不锈钢厂项目,,21600.00,洋房
山湖海雅苑（景润）,,110500.00,洋房
狮山三环东项目,22000.00,352000.00,洋房
时代．白朗峰（中山）,0.00,0.00,洋房
时代．花生(广州),,0.00,洋房
时代．糖果社区二期（广州）,,0.00,洋房
时代．糖果社区一期（广州）,,0.00,洋房
时代．依云小镇（佛山）,6283.47,0.00,洋房
时代长岛（广州南）,24384.65,229768.00,洋房
时代城（佛山）,10600.89,256290.00,洋房
时代港（珠海）,,122400.00,洋房
时代花生2（广州）,,156751.00,洋房
时代花园,0.00,0.00,洋房
时代廊桥（佛山）,29478.76,58000.00,洋房
时代廊桥（增城）,20059.48,117000.00,洋房
时代廊桥（珠海）,,0.00,洋房
时代廊桥花园,,0.00,洋房
时代玫瑰园,0.00,0.00,洋房
时代玫瑰园一二期,,0.00,洋房
时代南湾（广州）,,187000.00,洋房
时代南湾二期项目,16000.00,224000.00,洋房
时代年华（佛山）,,31500.00,洋房
时代倾城（长沙）,8992.05,1046500.00,洋房
时代倾城（佛山）,,0.00,洋房
时代倾城（佛山）四期,13250.95,121420.00,洋房
时代倾城（广州）,,182000.00,洋房
时代倾城（清远）,8997.26,603000.00,洋房
时代倾城（顺德）,,211700.00,洋房
时代倾城（增城）二期,,0.00,洋房
时代倾城（增城）一期,,0.00,洋房
时代倾城（中山）,12625.83,0.00,洋房
时代倾城（珠海）,16115.75,318573.76,洋房
时代倾城（珠海）5期,16660.04,82500.00,洋房
时代山湖海（珠海）,,0.00,洋房
时代水岸（佛山）,24692.86,195000.00,洋房
时代水岸（佛山）2期,28658.08,420000.00,洋房
时代糖果社区三期（广州）,,0.00,洋房
时代外滩（广州）,48006.56,177800.00,洋房
时代依云花园,,0.00,洋房
时代云图（佛山）,,106500.00,洋房
瑶台新苑,0.00,0.00,洋房
英之皇三和大道项目,15000.00,15000.00,洋房
永福苑,,0.00,洋房
云溪大厦,0.00,0.00,洋房
云映阁,,0.00,洋房
增江项目（增城）,18620.57,175759.00,洋房
中山宝艺项目,13000.00,91000.00,洋房
中山金沙10亩项目,,0.00,洋房
中山金沙110亩项目,16000.00,224000.00,洋房
中山金沙78亩项目,16000.00,144000.00,洋房
中山京珠花园项目,14932.18,167930.93,洋房
中山聚宝园项目,11137.68,247000.00,洋房
中山三溪村项目,23000.00,161000.00,洋房
中山细沙项目,,74800.00,洋房
中山宥南村捷越项目,0.00,0.00,洋房
中新知识城项目1（天韵）,22090.96,552645.00,洋房
中新知识城项目2（星胜）,25000.00,250000.00,洋房
珠海白蕉项目,26500.00,106000.00,洋房
珠海国基项目,15807.39,68000.00,洋房
珠海金湾新项目,19687.28,373288.65,洋房
珠海十字门项目,41771.53,315000.00,洋房
珠海市斗门区味精厂地块1,18000.00,18000.00,洋房
珠海市斗门区味精厂地块2,20143.00,60429.00,洋房
珠海市斗门区味精厂地块3,20143.00,100715.00,洋房
珠海市斗门区味精厂地块4,18000.00,18000.00,洋房
珠海田家炳项目,16437.40,288433.55,洋房
珠海友谊河项目,18995.79,232290.00,洋房
珠江花园（广州）,,0.00,洋房
