"名称",代码,建仓线,加仓线,重仓线
"中国建筑",601668,9,8.6,7.8
"中国中冶",601618,4,3.8,3.5
"保利地产",600048,15,14,13
"雅戈尔",600177,9,8.5,8
"格力电器",000651,52,45,40
"上汽集团",600104,34,31,27
"兴业银行",601166,18,17,16
"新华保险",601336,54,50,45
"长安 B",200625,8,7,6
"华域汽车",600741,26,24,22
"安信信托",600816,12,10,9
"华夏幸福",600340,37,34,32
"万科 A",000002,33,30,27
"复星国际",00656,16,13,12
"中国平安",601318,70,65,55
"民生银行",600016,8.5,7.8,6.8
"农业银行",601288,4,3.8,3.4
"绿地控股",600606,7.7,7,6
"金螳螂",002081,14,13,12
50ETF,510050,2.8,2.6,2.4
"上证 50b",502050,1,0.9,0.8
"海螺水泥",600585,30,26,24
"海大集团",002311,22,20,18
"新希望",000876,7.5,6.5,6
"北京控股",00392,43,41,35
"新城控股",601155,35,30,25
"泰禾集团",000732,30,26,20
"太钢不锈",000825,6.6,5.5,4.5
"长江电力",600900,16,15,14
"东方财富",300059,13,12,11
"中国巨石",600176,15,14,12
"北新建材",000786,22,19,16
"方大特钢",600507,17,16,15
"鲁西化工",000830,20,18,16
